Date, Train, Rooms/First from
6/1/2022, 5 California Zephyr, $1276
6/1/2022, Multiple Trains, $1668
6/1/2022, Multiple Trains, $1830
6/2/2022, 5 California Zephyr, $1276
6/2/2022, Multiple Trains, $1561
6/2/2022, Multiple Trains, $1914
6/3/2022, 5 California Zephyr, $1276
6/3/2022, Multiple Trains, $1704
6/3/2022, Multiple Trains, $1971
6/3/2022, Multiple Trains, $1847
Min values: 
6/1/2022, 5 California Zephyr, $1276
6/2/2022, 5 California Zephyr, $1276
6/3/2022, 5 California Zephyr, $1276
